"date","geo_value","cases","deaths"
2020-07-04,"ak",310,2
2020-07-04,"al",8133,88
2020-07-04,"ar",3899,27
2020-07-04,"az",24443,237
2020-07-04,"ca",49494,453
2020-07-04,"co",2852,32
2020-07-04,"ct",511,24
2020-07-04,"de",905,7
2020-07-04,"fl",57507,312
2020-07-04,"ga",18334,81
2020-07-04,"hi",127,1
2020-07-04,"ia",2988,17
2020-07-04,"id",2048,2
2020-07-04,"il",5535,141
2020-07-04,"in",2857,66
2020-07-04,"ks",2294,15
2020-07-04,"ky",1209,31
2020-07-04,"la",8520,88
2020-07-04,"ma",1145,131
2020-07-04,"md",2891,79
2020-07-04,"me",243,3
2020-07-04,"mi",2882,65
2020-07-04,"mn",2591,51
2020-07-04,"mo",3212,37
2020-07-04,"ms",5143,72
2020-07-04,"mt",315,1
2020-07-04,"nc",11043,69
2020-07-04,"nd",322,2
2020-07-04,"ne",1052,17
2020-07-04,"nh",155,12
2020-07-04,"nj",2391,241
2020-07-04,"nm",1444,22
2020-07-04,"nv",5236,30
2020-07-04,"ny",4793,154
2020-07-04,"oh",6728,92
2020-07-04,"ok",3002,14
2020-07-04,"or",1836,11
2020-07-04,"pa",4543,144
2020-07-04,"ri",330,21
2020-07-04,"sc",11447,102
2020-07-04,"sd",391,6
2020-07-04,"tn",10196,53
2020-07-04,"tx",44393,412
2020-07-04,"ut",3914,14
2020-07-04,"va",3862,125
2020-07-04,"vt",38,0
2020-07-04,"wa",4136,47
2020-07-04,"wi",3769,20
2020-07-04,"wv",423,1
2020-07-04,"wy",214,0
2020-07-11,"ak",332,1
2020-07-11,"al",9586,107
2020-07-11,"ar",4655,33
2020-07-11,"az",25363,334
2020-07-11,"ca",61250,729
2020-07-11,"co",3802,28
2020-07-11,"ct",570,13
2020-07-11,"de",747,7
2020-07-11,"fl",64459,495
2020-07-11,"ga",21082,139
2020-07-11,"hi",201,0
2020-07-11,"ia",3597,27
2020-07-11,"id",3136,9
2020-07-11,"il",7482,355
2020-07-11,"in",3647,74
2020-07-11,"ks",2776,12
2020-07-11,"ky",2745,37
2020-07-11,"la",13514,125
2020-07-11,"ma",1496,138
2020-07-11,"md",3126,74
2020-07-11,"me",123,5
2020-07-11,"mi",3794,95
2020-07-11,"mn",3947,34
2020-07-11,"mo",4287,41
2020-07-11,"ms",4745,123
2020-07-11,"mt",510,6
2020-07-11,"nc",12713,91
2020-07-11,"nd",519,7
2020-07-11,"ne",1171,1
2020-07-11,"nh",152,12
2020-07-11,"nj",2200,336
2020-07-11,"nm",1710,30
2020-07-11,"nv",5263,62
2020-07-11,"ny",4823,172
2020-07-11,"oh",8031,112
2020-07-11,"ok",4131,23
2020-07-11,"or",1921,19
2020-07-11,"pa",5269,146
2020-07-11,"ri",321,14
2020-07-11,"sc",11313,138
2020-07-11,"sd",411,12
2020-07-11,"tn",10937,101
2020-07-11,"tx",61768,723
2020-07-11,"ut",4313,31
2020-07-11,"va",4673,113
2020-07-11,"vt",45,0
2020-07-11,"wa",4770,65
2020-07-11,"wi",4624,20
2020-07-11,"wv",941,2
2020-07-11,"wy",233,1
2020-07-18,"ak",495,1
2020-07-18,"al",13379,172
2020-07-18,"ar",4669,38
2020-07-18,"az",21335,579
2020-07-18,"ca",62557,650
2020-07-18,"co",3779,43
2020-07-18,"ct",606,48
2020-07-18,"de",686,7
2020-07-18,"fl",83058,698
2020-07-18,"ga",25479,173
2020-07-18,"hi",154,5
2020-07-18,"ia",3655,41
2020-07-18,"id",3797,17
2020-07-18,"il",7691,114
2020-07-18,"in",4575,67
2020-07-18,"ks",3006,13
2020-07-18,"ky",3063,45
2020-07-18,"la",11787,106
2020-07-18,"ma",1585,109
2020-07-18,"md",4739,58
2020-07-18,"me",125,5
2020-07-18,"mi",4957,51
2020-07-18,"mn",3899,41
2020-07-18,"mo",5234,46
2020-07-18,"ms",6427,116
2020-07-18,"mt",794,8
2020-07-18,"nc",14002,135
2020-07-18,"nd",681,3
2020-07-18,"ne",1483,16
2020-07-18,"nh",164,5
2020-07-18,"nj",2191,174
2020-07-18,"nm",1963,26
2020-07-18,"nv",7639,54
2020-07-18,"ny",5503,115
2020-07-18,"oh",9607,111
2020-07-18,"ok",5278,30
2020-07-18,"or",2298,25
2020-07-18,"pa",5623,122
2020-07-18,"ri",481,12
2020-07-18,"sc",12913,184
2020-07-18,"sd",391,6
2020-07-18,"tn",15330,100
2020-07-18,"tx",60541,994
2020-07-18,"ut",4477,31
2020-07-18,"va",6591,63
2020-07-18,"vt",55,0
2020-07-18,"wa",6284,48
2020-07-18,"wi",5806,32
2020-07-18,"wv",748,4
2020-07-18,"wy",269,3
2020-07-25,"ak",733,2
2020-07-25,"al",12007,170
2020-07-25,"ar",5448,42
2020-07-25,"az",18776,556
2020-07-25,"ca",66880,740
2020-07-25,"co",3501,33
2020-07-25,"ct",883,17
2020-07-25,"de",746,11
2020-07-25,"fl",76942,882
2020-07-25,"ga",25308,325
2020-07-25,"hi",266,2
2020-07-25,"ia",3573,37
2020-07-25,"id",3523,27
2020-07-25,"il",9337,106
2020-07-25,"in",5866,77
2020-07-25,"ks",3315,21
2020-07-25,"ky",4580,29
2020-07-25,"la",15144,206
2020-07-25,"ma",1736,91
2020-07-25,"md",5848,65
2020-07-25,"me",145,2
2020-07-25,"mi",4280,36
2020-07-25,"mn",4821,33
2020-07-25,"mo",8366,65
2020-07-25,"ms",9135,132
2020-07-25,"mt",788,9
2020-07-25,"nc",13633,163
2020-07-25,"nd",854,9
2020-07-25,"ne",1914,15
2020-07-25,"nh",227,13
2020-07-25,"nj",2358,77
2020-07-25,"nm",2052,38
2020-07-25,"nv",7339,86
2020-07-25,"ny",4937,115
2020-07-25,"oh",9363,174
2020-07-25,"ok",5024,45
2020-07-25,"or",2343,28
2020-07-25,"pa",6514,105
2020-07-25,"ri",431,9
2020-07-25,"sc",12396,330
2020-07-25,"sd",437,6
2020-07-25,"tn",15302,126
2020-07-25,"tx",57886,1168
2020-07-25,"ut",4291,31
2020-07-25,"va",7236,50
2020-07-25,"vt",58,0
2020-07-25,"wa",5713,74
2020-07-25,"wi",6385,54
2020-07-25,"wv",881,3
2020-07-25,"wy",338,1
2020-08-01,"ak",955,4
2020-08-01,"al",12111,147
2020-08-01,"ar",5192,59
2020-08-01,"az",16961,461
2020-08-01,"ca",57986,888
2020-08-01,"co",2752,19
2020-08-01,"ct",1034,19
2020-08-01,"de",702,6
2020-08-01,"fl",65517,1245
2020-08-01,"ga",24824,331
2020-08-01,"hi",577,0
2020-08-01,"ia",3407,48
2020-08-01,"id",3284,51
2020-08-01,"il",10632,111
2020-08-01,"in",5602,74
2020-08-01,"ks",2582,29
2020-08-01,"ky",3959,44
2020-08-01,"la",12546,234
2020-08-01,"ma",2094,116
2020-08-01,"md",6311,73
2020-08-01,"me",147,4
2020-08-01,"mi",5682,56
2020-08-01,"mn",4897,35
2020-08-01,"mo",10564,76
2020-08-01,"ms",8900,215
2020-08-01,"mt",822,15
2020-08-01,"nc",12953,168
2020-08-01,"nd",778,4
2020-08-01,"ne",1996,16
2020-08-01,"nh",199,7
2020-08-01,"nj",3477,54
2020-08-01,"nm",2008,44
2020-08-01,"nv",7258,100
2020-08-01,"ny",4582,71
2020-08-01,"oh",8903,172
2020-08-01,"ok",7650,53
2020-08-01,"or",2325,40
2020-08-01,"pa",6274,92
2020-08-01,"ri",798,6
2020-08-01,"sc",10591,286
2020-08-01,"sd",548,12
2020-08-01,"tn",15300,103
2020-08-01,"tx",54179,1940
2020-08-01,"ut",3079,36
2020-08-01,"va",7192,140
2020-08-01,"vt",25,1
2020-08-01,"wa",5547,97
